"","date","tv","opponent","arena","location","time","team"
"1204",2022-12-14,"ESPN+","North Carolina A&T","Fertitta Center","Home","20:00","Houston"
"1205",2022-12-17,"ESPN2","Virginia","John Paul Jones Arena","Away","14:00","Houston"
"1206",2022-12-22,"ESPN+","McNeese St.","Fertitta Center","Home","20:00","Houston"
"1207",2022-12-29,NA,"Tulsa","Donald W. Reynolds Center","Away","21:00","Houston"
"1208",2022-12-31,"ESPN+","UCF","Fertitta Center","Home","14:00","Houston"
"1209",2023-01-06,"ESPN2","SMU","Fertitta Center","Home","19:00","Houston"
"1210",2023-01-08,"ESPN","Cincinnati","Fifth Third Arena","Away","15:00","Houston"
"1211",2023-01-12,"ESPN+","South Florida","Fertitta Center","Home","20:00","Houston"
"1212",2023-01-18,"ESPN+","Tulane","Avron B. Fogelman Arena in the Devlin Fieldhouse","Away","19:00","Houston"
"1213",2023-01-22,"ESPN","Temple","Fertitta Center","Home","15:00","Houston"
"1214",2023-01-26,"ESPN+","UCF","Addition Financial Arena","Away","19:00","Houston"
"1215",2023-01-28,NA,"Cincinnati","Fertitta Center","Home","14:15","Houston"
"1216",2023-02-03,"ESPN2","Wichita St.","Charles Koch Arena","Away","21:00","Houston"
"1217",2023-02-05,"ESPN2","Temple","Liacouras Center","Away","18:00","Houston"
"1218",2023-02-09,"ESPN+","Tulsa","Fertitta Center","Home","20:00","Houston"
"1219",2023-02-17,"ESPN2","SMU","Moody Coliseum","Away","19:00","Houston"
"1220",2023-02-19,"ESPN","Memphis","Fertitta Center","Home","15:00","Houston"
"1221",2023-02-23,NA,"Tulane","Fertitta Center","Home","21:00","Houston"
"1222",2023-02-26,NA,"East Carolina","Williams Arena at Minges Coliseum","Away","20:00","Houston"
"1223",2023-03-03,NA,"Wichita St.","Fertitta Center","Home","19:00","Houston"
"1224",2023-03-05,NA,"Memphis","FedExForum","Away","12:00","Houston"
"1225",2022-11-08,"ESPNU","Eastern Illinois","State Farm Center","Home","21:00","Illinois"
"1226",2022-11-12,"BTN","UKMC","State Farm Center","Home","21:00","Illinois"
"1227",2022-11-15,"BTN","Monmouth","State Farm Center","Home","21:00","Illinois"
"1228",2022-11-19,"ESPNU","UCLA","T-Mobile Arena","Neutral","21:30","Illinois"
"1229",2022-11-26,NA,"Lindenwood","State Farm Center","Home","21:00","Illinois"
"1230",2022-11-29,NA,"Syracuse","State Farm Center","Home","00:00","Illinois"
"1231",2022-12-03,NA,"Maryland","XFINITY Center","Away","21:00","Illinois"
"1232",2022-12-07,"ESPN","Texas","Madison Square Garden","Neutral","19:00","Illinois"
"1233",2022-12-10,NA,"Penn St.","State Farm Center","Home","12:00","Illinois"
"1234",2022-12-17,NA,"Alabama A&M","State Farm Center","Home","16:00","Illinois"
"1235",2022-12-23,"SECN","Missouri","Enterprise Center","Neutral","21:00","Illinois"
"1236",2022-12-30,NA,"Bethune Cookman","State Farm Center","Home","20:30","Illinois"
"1237",2023-01-05,NA,"Northwestern","Welsh-Ryan Arena","Away","21:00","Illinois"
"1238",2023-01-07,"ESPN2","Wisconsin","State Farm Center","Home","13:30","Illinois"
"1239",2023-01-11,NA,"Nebraska","Pinnacle Bank Arena","Away","21:00","Illinois"
"1240",2023-01-14,NA,"Michigan St.","State Farm Center","Home","21:00","Illinois"
"1241",2023-01-16,NA,"Minnesota","Williams Arena","Away","18:00","Illinois"
"1242",2023-01-20,NA,"Indiana","State Farm Center","Home","20:30","Illinois"
"1243",2023-01-25,NA,"Ohio St.","State Farm Center","Home","19:00","Illinois"
"1244",2023-01-28,NA,"Wisconsin","Kohl Center","Away","15:00","Illinois"
"1245",2023-02-01,NA,"Nebraska","State Farm Center","Home","19:30","Illinois"
"1246",2023-02-04,NA,"Iowa","Carver-Hawkeye Arena","Away","14:30","Illinois"
"1247",2023-02-08,NA,"Minnesota","State Farm Center","Home","20:30","Illinois"
"1248",2023-02-11,NA,"Rutgers","State Farm Center","Home","14:00","Illinois"
"1249",2023-02-15,NA,"Penn St.","Bryce Jordan Center","Away","19:00","Illinois"
"1250",2023-02-18,NA,"Indiana","Simon Skjodt Assembly Hall","Away","12:00","Illinois"
"1251",2023-02-24,NA,"Northwestern","State Farm Center","Home","21:00","Illinois"
"1252",2023-02-26,NA,"Ohio St.","Value City Arena","Away","12:00","Illinois"
"1253",2023-03-03,"ESPN","Michigan","State Farm Center","Home","19:00","Illinois"
"1254",2023-03-05,NA,"Purdue","Mackey Arena","Away","12:30","Illinois"
"1255",2022-11-08,NA,"Morehead St.","Simon Skjodt Assembly Hall","Home","19:00","Indiana"
"1256",2022-11-11,"BTN","Bethune Cookman","Simon Skjodt Assembly Hall","Home","20:30","Indiana"
"1257",2022-11-18,"FS1","Xavier","Cintas Center","Away","18:00","Indiana"
"1258",2022-11-20,"BTN","Miami OH","Gainbridge Fieldhouse","Neutral","17:30","Indiana"
"1259",2022-11-23,NA,"Little Rock","Simon Skjodt Assembly Hall","Home","18:30","Indiana"
"1260",2022-11-25,NA,"Jackson St.","Simon Skjodt Assembly Hall","Home","12:30","Indiana"
"1261",2022-12-01,"ESPN","North Carolina","Simon Skjodt Assembly Hall","Home","21:15","Indiana"
"1262",2022-12-03,NA,"Rutgers","Jersey Mike’s Arena","Away","16:00","Indiana"
"1263",2022-12-08,NA,"Nebraska","Simon Skjodt Assembly Hall","Home","20:30","Indiana"
"1264",2022-12-11,NA,"Arizona","MGM Grand Garden Arena","Neutral","19:30","Indiana"
"1265",2022-12-17,"ESPN2","Kansas","Allen Fieldhouse","Away","12:00","Indiana"
"1266",2022-12-21,NA,"Elon","Simon Skjodt Assembly Hall","Home","19:00","Indiana"
"1267",2022-12-24,NA,"Kennesaw St.","Simon Skjodt Assembly Hall","Home","19:00","Indiana"
"1268",2023-01-06,NA,"Iowa","Carver-Hawkeye Arena","Away","21:00","Indiana"
"1269",2023-01-08,NA,"Northwestern","Simon Skjodt Assembly Hall","Home","12:00","Indiana"
"1270",2023-01-12,NA,"Penn St.","Bryce Jordan Center","Away","19:00","Indiana"
"1271",2023-01-14,NA,"Wisconsin","Simon Skjodt Assembly Hall","Home","13:00","Indiana"
"1272",2023-01-20,NA,"Illinois","State Farm Center","Away","20:30","Indiana"
"1273",2023-01-22,NA,"Michigan St.","Simon Skjodt Assembly Hall","Home","00:00","Indiana"
"1274",2023-01-26,NA,"Minnesota","Williams Arena","Away","21:00","Indiana"
"1275",2023-01-29,NA,"Ohio St.","Simon Skjodt Assembly Hall","Home","20:00","Indiana"
"1276",2023-02-01,NA,"Maryland","XFINITY Center","Away","21:00","Indiana"
"1277",2023-02-04,NA,"Purdue","Simon Skjodt Assembly Hall","Home","16:00","Indiana"
"1278",2023-02-07,NA,"Rutgers","Simon Skjodt Assembly Hall","Home","18:30","Indiana"
"1279",2023-02-11,"ESPN","Michigan","Crisler Center","Away","18:00","Indiana"
"1280",2023-02-16,NA,"Northwestern","Welsh-Ryan Arena","Away","21:00","Indiana"
"1281",2023-02-18,NA,"Illinois","Simon Skjodt Assembly Hall","Home","12:00","Indiana"
"1282",2023-02-22,NA,"Michigan St.","Breslin Center","Away","21:00","Indiana"
"1283",2023-02-26,NA,"Purdue","Mackey Arena","Away","19:30","Indiana"
"1284",2023-03-01,NA,"Iowa","Simon Skjodt Assembly Hall","Home","19:00","Indiana"
"1285",2023-03-05,NA,"Michigan","Simon Skjodt Assembly Hall","Home","16:30","Indiana"
"1286",2022-11-08,"ESPNU","Bethune Cookman","Carver-Hawkeye Arena","Home","19:00","Iowa"
"1287",2022-11-12,NA,"North Carolina A&T","Carver-Hawkeye Arena","Home","20:00","Iowa"
"1288",2022-11-17,"FS1","Seton Hall","Prudential Center","Away","19:30","Iowa"
"1289",2022-11-22,NA,"Nebraska Omaha","Carver-Hawkeye Arena","Home","20:00","Iowa"
"1290",2022-11-26,"CBSSN","Clemson","The Arena at Northwest FL St","Neutral","19:00","Iowa"
"1291",2022-11-30,NA,"Georgia Tech","Carver-Hawkeye Arena","Home","21:00","Iowa"
"1292",2022-12-07,"ESPN","Duke","Madison Square Garden","Neutral","21:30","Iowa"
"1293",2022-12-09,NA,"Iowa St.","Carver-Hawkeye Arena","Home","20:00","Iowa"
"1294",2022-12-11,NA,"Wisconsin","Carver-Hawkeye Arena","Home","18:30","Iowa"
"1295",2022-12-18,NA,"Southeast Missouri St.","Carver-Hawkeye Arena","Home","20:30","Iowa"
"1296",2022-12-22,NA,"Eastern Illinois","Carver-Hawkeye Arena","Home","20:00","Iowa"
"1297",2022-12-30,NA,"Nebraska","Pinnacle Bank Arena","Away","19:00","Iowa"
"1298",2023-01-01,NA,"Penn St.","Bryce Jordan Center","Away","17:30","Iowa"
"1299",2023-01-06,NA,"Indiana","Carver-Hawkeye Arena","Home","21:00","Iowa"
"1300",2023-01-08,NA,"Rutgers","Jersey Mike’s Arena","Away","12:00","Iowa"
"1301",2023-01-13,"ESPN2","Michigan","Carver-Hawkeye Arena","Home","19:00","Iowa"
"1302",2023-01-15,NA,"Maryland","Carver-Hawkeye Arena","Home","00:00","Iowa"
"1303",2023-01-19,NA,"Northwestern","Carver-Hawkeye Arena","Home","21:00","Iowa"
"1304",2023-01-21,NA,"Ohio St.","Value City Arena","Away","00:00","Iowa"
"1305",2023-01-27,NA,"Michigan St.","Breslin Center","Away","19:00","Iowa"
"1306",2023-01-29,NA,"Rutgers","Carver-Hawkeye Arena","Home","14:00","Iowa"
"1307",2023-02-04,NA,"Illinois","Carver-Hawkeye Arena","Home","14:30","Iowa"
"1308",2023-02-10,"ESPN2","Purdue","Mackey Arena","Away","19:00","Iowa"
"1309",2023-02-12,NA,"Minnesota","Williams Arena","Away","13:00","Iowa"
"1310",2023-02-17,"ESPN2","Ohio St.","Carver-Hawkeye Arena","Home","21:00","Iowa"
"1311",2023-02-19,NA,"Northwestern","Welsh-Ryan Arena","Away","18:30","Iowa"
"1312",2023-02-23,NA,"Wisconsin","Kohl Center","Away","21:00","Iowa"
"1313",2023-02-25,NA,"Michigan St.","Carver-Hawkeye Arena","Home","12:00","Iowa"
"1314",2023-03-01,NA,"Indiana","Simon Skjodt Assembly Hall","Away","19:00","Iowa"
"1315",2023-03-05,NA,"Nebraska","Carver-Hawkeye Arena","Home","14:00","Iowa"
"1316",2022-11-08,"BIG12|ESPN+","IUPUI","James H. Hilton Coliseum","Home","20:00","Iowa St."
"1317",2022-11-13,"BIG12|ESPN+","North Carolina A&T","James H. Hilton Coliseum","Home","13:00","Iowa St."
"1318",2022-11-20,"BIG12|ESPN+","Milwaukee","James H. Hilton Coliseum","Home","18:00","Iowa St."
"1319",2022-11-24,"ESPN2","Villanova","Moda Center","Neutral","15:30","Iowa St."
"1320",2022-11-24,"ESPN+","Villanova","Moda Center","Neutral","15:30","Iowa St."
"1321",2022-12-01,"BIG12|ESPN+","North Dakota","James H. Hilton Coliseum","Home","20:00","Iowa St."
"1322",2022-12-04,"ESPN2","St. John's","James H. Hilton Coliseum","Home","15:00","Iowa St."
"1323",2022-12-09,NA,"Iowa","Carver-Hawkeye Arena","Away","20:00","Iowa St."
"1324",2022-12-11,"BIG12|ESPN+","McNeese St.","James H. Hilton Coliseum","Home","18:00","Iowa St."
"1325",2022-12-18,"BIG12|ESPN+","Western Michigan","James H. Hilton Coliseum","Home","13:00","Iowa St."
"1326",2022-12-22,"ESPN+","Nebraska Omaha","James H. Hilton Coliseum","Home","19:00","Iowa St."
"1327",2022-12-31,NA,"Baylor","James H. Hilton Coliseum","Home","00:00","Iowa St."
"1328",2023-01-05,NA,"Oklahoma","Lloyd Noble Center","Away","19:00","Iowa St."
"1329",2023-01-07,"ESPNU","TCU","Ed and Rae Schollmaier Arena","Away","14:00","Iowa St."
"1330",2023-01-11,"BIG12|ESPN+","Texas Tech","James H. Hilton Coliseum","Home","20:00","Iowa St."
"1331",2023-01-14,"BIG12|ESPN+","Kansas","Allen Fieldhouse","Away","16:00","Iowa St."
"1332",2023-01-18,"BIG12|ESPN+","Texas","James H. Hilton Coliseum","Home","20:00","Iowa St."
"1333",2023-01-21,"BIG12|ESPN+","Oklahoma St.","Gallagher-Iba Arena","Away","14:00","Iowa St."
"1334",2023-01-25,"ESPNU","Kansas St.","James H. Hilton Coliseum","Home","21:00","Iowa St."
"1335",2023-01-28,NA,"Missouri","Mizzou Arena","Away","14:00","Iowa St."
"1336",2023-01-31,NA,"Texas Tech","United Supermarkets Arena","Away","21:00","Iowa St."
"1337",2023-02-04,NA,"Kansas","James H. Hilton Coliseum","Home","12:00","Iowa St."
"1338",2023-02-09,NA,"West Virginia","WVU Coliseum","Away","19:00","Iowa St."
"1339",2023-02-11,NA,"Oklahoma St.","James H. Hilton Coliseum","Home","18:00","Iowa St."
"1340",2023-02-16,NA,"TCU","James H. Hilton Coliseum","Home","21:00","Iowa St."
"1341",2023-02-18,NA,"Kansas St.","Bramlage Coliseum","Away","18:00","Iowa St."
"1342",2023-02-22,"LHN","Texas","Moody Center","Away","21:00","Iowa St."
"1343",2023-02-25,NA,"Oklahoma","James H. Hilton Coliseum","Home","12:00","Iowa St."
"1344",2023-02-28,NA,"West Virginia","James H. Hilton Coliseum","Home","21:00","Iowa St."
"1345",2023-03-04,NA,"Baylor","Ferrell Center","Away","00:00","Iowa St."
"1346",2022-11-07,"ESPN+","VALLEY FORGE","Atlantic Union Bank Center","Home","16:00","James Madison"
"1347",2022-11-10,"ESPN+","Hampton","Atlantic Union Bank Center","Home","19:00","James Madison"
"1348",2022-11-12,"ESPN+","Buffalo","Alumni Arena","Away","13:00","James Madison"
"1349",2022-11-16,NA,"Howard","Burr Gymnasium","Away","19:00","James Madison"
"1350",2022-11-20,"ACCN","North Carolina","Dean E. Smith Center","Away","12:00","James Madison"
"1351",2022-11-25,NA,"College of Coastal Georgia","Atlantic Union Bank Center","Home","11:00","James Madison"
"1352",2022-11-26,NA,"South Dakota St.","Enmarket Arena","Neutral","12:00","James Madison"
"1353",2022-11-27,NA,"Valparaiso","Enmarket Arena","Neutral","12:00","James Madison"
"1354",2022-12-03,"ESPN+","Eastern Kentucky","Atlantic Union Bank Center","Home","19:00","James Madison"
"1355",2022-12-07,"ACCN","Virginia","John Paul Jones Arena","Away","20:00","James Madison"
"1356",2022-12-11,"ESPN+","Gallaudet University","Atlantic Union Bank Center","Home","19:00","James Madison"
"1357",2022-12-18,"ESPN+","LIU Brooklyn","Atlantic Union Bank Center","Home","16:00","James Madison"
"1358",2022-12-22,NA,"Coppin St.","Physical Education Complex","Away","19:00","James Madison"
"1359",2022-12-30,"ESPN+","Georgia St.","GSU Convocation Center","Away","19:00","James Madison"
"1360",2022-12-31,"ESPN+","Marshall","Cam Henderson Center","Away","14:00","James Madison"
"1361",2023-01-06,"ESPN+","Texas St.","Atlantic Union Bank Center","Home","19:00","James Madison"
"1362",2023-01-07,"ESPN+","Appalachian St.","Atlantic Union Bank Center","Home","16:00","James Madison"
"1363",2023-01-12,"ESPN+","South Alabama","Mitchell Center","Away","18:00","James Madison"
"1364",2023-01-15,"ESPN+","Georgia Southern","Atlantic Union Bank Center","Home","19:00","James Madison"
"1365",2023-01-20,"ESPN+","Troy","Trojan Arena","Away","19:00","James Madison"
"1366",2023-01-21,"ESPN+","Southern Miss","Reed Green Coliseum","Away","15:00","James Madison"
"1367",2023-01-27,"ESPN+","Coastal Carolina","Atlantic Union Bank Center","Home","19:00","James Madison"
"1368",2023-01-28,"ESPN+","Louisiana Monroe","Atlantic Union Bank Center","Home","16:00","James Madison"
"1369",2023-02-03,"ESPN+","Old Dominion","Chartway Arena","Away","19:00","James Madison"
"1370",2023-02-04,"ESPN+","Appalachian St.","Holmes Convocation Center","Away","16:00","James Madison"
"1371",2023-02-10,"ESPN+","Georgia Southern","W.S. Hanner Fieldhouse","Away","19:00","James Madison"
"1372",2023-02-11,"ESPN+","Coastal Carolina","The HTC Center","Away","14:00","James Madison"
"1373",2023-02-17,"ESPN+","Old Dominion","Atlantic Union Bank Center","Home","19:00","James Madison"
"1374",2023-02-19,"ESPN+","Louisiana Lafayette","Atlantic Union Bank Center","Home","19:00","James Madison"
"1375",2023-02-23,"ESPN+","Marshall","Atlantic Union Bank Center","Home","19:00","James Madison"
"1376",2023-02-25,"ESPN+","Georgia St.","Atlantic Union Bank Center","Home","20:00","James Madison"
"1377",2022-11-08,"BIG12|ESPN+","Nebraska Omaha","Allen Fieldhouse","Home","20:00","Kansas"
"1378",2022-11-11,"BIG12|ESPN+","North Dakota St.","Allen Fieldhouse","Home","20:00","Kansas"
"1379",2022-11-16,"ESPN","Duke","Gainbridge Fieldhouse","Neutral","21:30","Kansas"
"1380",2022-11-19,"BIG12|ESPN+","Southern Utah","Allen Fieldhouse","Home","20:00","Kansas"
"1381",2022-11-23,"ESPN","North Carolina St.","Imperial Arena","Neutral","12:00","Kansas"
"1382",2022-11-29,"BIG12|ESPN+","Texas Southern","Allen Fieldhouse","Home","20:00","Kansas"
"1383",2022-12-02,"ESPN","Seton Hall","Allen Fieldhouse","Home","21:00","Kansas"
"1384",2022-12-10,"ESPN","Missouri","Mizzou Arena","Away","17:15","Kansas"
"1385",2022-12-17,"ESPN2","Indiana","Allen Fieldhouse","Home","12:00","Kansas"
"1386",2022-12-23,"ESPN2","Harvard","Allen Fieldhouse","Home","19:00","Kansas"
"1387",2022-12-31,NA,"Oklahoma St.","Allen Fieldhouse","Home","14:00","Kansas"
"1388",2023-01-04,"ESPN2","Texas Tech","United Supermarkets Arena","Away","21:00","Kansas"
"1389",2023-01-07,"BIG12|ESPN+","West Virginia","WVU Coliseum","Away","18:00","Kansas"
"1390",2023-01-11,NA,"Oklahoma","Allen Fieldhouse","Home","21:00","Kansas"
"1391",2023-01-14,"BIG12|ESPN+","Iowa St.","Allen Fieldhouse","Home","16:00","Kansas"
"1392",2023-01-18,NA,"Kansas St.","Bramlage Coliseum","Away","19:00","Kansas"
"1393",2023-01-21,NA,"TCU","Allen Fieldhouse","Home","13:00","Kansas"
"1394",2023-01-24,"ESPN","Baylor","Ferrell Center","Away","21:00","Kansas"
"1395",2023-01-29,"ESPN","Kentucky","Rupp Arena","Away","20:00","Kansas"
"1396",2023-02-01,"BIG12|ESPN+","Kansas St.","Allen Fieldhouse","Home","20:00","Kansas"
"1397",2023-02-04,NA,"Iowa St.","James H. Hilton Coliseum","Away","12:00","Kansas"
"1398",2023-02-07,"ESPN","Texas","Allen Fieldhouse","Home","21:00","Kansas"
"1399",2023-02-11,NA,"Oklahoma","Lloyd Noble Center","Away","13:00","Kansas"
"1400",2023-02-15,NA,"Oklahoma St.","Gallagher-Iba Arena","Away","21:00","Kansas"
"1401",2023-02-18,"ESPN","Baylor","Allen Fieldhouse","Home","16:00","Kansas"
"1402",2023-02-21,"ESPN","TCU","Ed and Rae Schollmaier Arena","Away","21:00","Kansas"
"1403",2023-02-25,NA,"West Virginia","Allen Fieldhouse","Home","16:00","Kansas"
"1404",2023-03-01,NA,"Texas Tech","Allen Fieldhouse","Home","21:00","Kansas"
"1405",2023-03-04,NA,"Texas","Moody Center","Away","00:00","Kansas"
"1406",2022-11-08,"BIG12|ESPN+","UT Rio Grande Valley","Bramlage Coliseum","Home","21:00","Kansas St."
"1407",2022-11-12,"PAC12","California","Haas Pavilion","Away","19:00","Kansas St."
"1408",2022-11-17,"BIG12|ESPN+","UKMC","Bramlage Coliseum","Home","18:30","Kansas St."
"1409",2022-11-22,NA,"Rhode Island","John Gray Gymnasium","Neutral","19:30","Kansas St."
"1410",2022-11-30,NA,"Butler","Hinkle Fieldhouse","Away","18:30","Kansas St."
"1411",2022-12-04,"ESPNU","Wichita St.","Bramlage Coliseum","Home","21:00","Kansas St."
"1412",2022-12-07,"BIG12|ESPN+","Abilene Christian","Bramlage Coliseum","Home","20:00","Kansas St."
"1413",2022-12-11,"BIG12|ESPN+","Incarnate Word","Bramlage Coliseum","Home","15:00","Kansas St."
"1414",2022-12-18,"BIG12|ESPN+","Nebraska","T-Mobile Center","Home","19:00","Kansas St."
"1415",2022-12-21,"ESPN+","Radford","Bramlage Coliseum","Home","14:30","Kansas St."
"1416",2022-12-31,"BIG12|ESPN+","West Virginia","Bramlage Coliseum","Home","00:00","Kansas St."
"1417",2023-01-04,"LHN","Texas","Moody Center","Away","21:00","Kansas St."
"1418",2023-01-07,"BIG12|ESPN+","Baylor","Ferrell Center","Away","18:00","Kansas St."
"1419",2023-01-11,"ESPNU","Oklahoma St.","Bramlage Coliseum","Home","19:00","Kansas St."
"1420",2023-01-14,NA,"TCU","Ed and Rae Schollmaier Arena","Away","14:00","Kansas St."
"1421",2023-01-18,NA,"Kansas","Bramlage Coliseum","Home","19:00","Kansas St."
"1422",2023-01-21,NA,"Texas Tech","Bramlage Coliseum","Home","14:00","Kansas St."
"1423",2023-01-25,"ESPNU","Iowa St.","James H. Hilton Coliseum","Away","21:00","Kansas St."
"1424",2023-01-28,"ESPN2","Florida","Bramlage Coliseum","Home","18:00","Kansas St."
"1425",2023-02-01,"BIG12|ESPN+","Kansas","Allen Fieldhouse","Away","20:00","Kansas St."
"1426",2023-02-04,NA,"Texas","Bramlage Coliseum","Home","16:00","Kansas St."
"1427",2023-02-08,"ESPNU","TCU","Bramlage Coliseum","Home","21:00","Kansas St."
